source_file,account,asset,entry_time,entry_price,position_size,exit_time,exit_price,Close volume,Price PnL,profit_ticks,PnL,Comment,exchange,direction,order_id_entry,order_id_exit,comment,commission,PnL_net,duration_minutes,notes,emotion,situation,equity
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 12:11:17.188,5953.25,1.0,2025-05-20 12:25:05.559,5953.5,-1.0,0.25,1.0,12.5,,CME,Buy,1564671.0,1562138.0,,0.0,12.5,13.806183333333333,,,,-387.5
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 12:25:13.671,5953.5,1.0,2025-05-20 12:41:06.861,5961.75,-1.0,8.25,33.0,412.5,,CME,Buy,1572522.0,1575813.0,,0.0,412.5,15.886500000000002,,,,25.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 12:52:43.012,5963.5,-1.0,2025-05-20 12:55:20.853,5966.0,1.0,-2.5,-10.0,-125.0,,CME,Sell,1580044.0,1580047.0,,0.0,-125.0,2.6306833333333333,,,,-100.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 12:55:27.500,5965.25,-1.0,2025-05-20 12:56:22.747,5966.0,1.0,-0.75,-3.0,-37.5,,CME,Sell,1578092.0,1580590.0,,0.0,-37.5,0.9207833333333333,,,,-137.5
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 12:56:34.350,5966.0,-1.0,2025-05-20 13:00:44.885,5966.0,1.0,0.0,0.0,0.0,,CME,Sell,1579730.0,1578376.0,,0.0,0.0,4.175583333333333,,,,-137.5
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 13:01:21.744,5967.0,-1.0,2025-05-20 13:02:30.045,5967.0,1.0,0.0,0.0,0.0,,CME,Sell,1579887.0,1582977.0,,0.0,0.0,1.13835,,,,-137.5
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 13:11:02.898,5967.75,-1.0,2025-05-20 13:12:28.500,5967.75,1.0,0.0,0.0,0.0,,CME,Sell,1585797.0,1583690.0,,0.0,0.0,1.4267,,,,-137.5
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 13:12:36.128,5967.0,-1.0,2025-05-20 13:13:40.042,5967.0,1.0,0.0,0.0,0.0,,CME,Sell,1589861.0,1585967.0,,0.0,0.0,1.0652333333333333,,,,-137.5
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 13:13:50.157,5967.25,-1.0,2025-05-20 13:14:09.814,5968.75,1.0,-1.5,-6.0,-75.0,,CME,Sell,1581952.0,1614588.0,,0.0,-75.0,0.32761666666666667,,,,-212.5
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 14:21:11.838,5952.25,1.0,2025-05-20 14:21:15.597,5950.5,-1.0,-1.75,-7.0,-87.5,,CME,Buy,1613239.0,1613563.0,,0.0,-87.5,0.06265,,,,-300.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 14:21:19.903,5947.75,1.0,2025-05-20 14:21:20.724,5946.25,-1.0,-1.5,-6.0,-75.0,,CME,Buy,1616859.0,1616666.0,,0.0,-75.0,0.013683333333333332,,,,-375.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 14:21:21.915,5946.0,1.0,2025-05-20 14:26:39.586,5946.0,-1.0,0.0,0.0,0.0,,CME,Buy,1617754.0,1620763.0,,0.0,0.0,5.2945166666666665,,,,-375.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 14:26:46.257,5946.75,1.0,2025-05-20 14:39:52.893,5946.0,-1.0,-0.75,-3.0,-37.5,,CME,Buy,1620487.0,1621786.0,,0.0,-37.5,13.1106,,,,-412.5
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 14:28:02.887,5944.5,1.0,2025-05-20 14:39:52.893,5946.0,-1.0,1.5,6.0,75.0,,CME,Buy,1619271.0,1621582.0,,0.0,75.0,11.833433333333334,,,,-337.5
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 14:29:05.440,5939.25,1.0,2025-05-20 14:39:52.893,5946.0,-1.0,6.75,27.0,337.5,,CME,Buy,1627804.0,1627467.0,,0.0,337.5,10.790883333333333,,,,0.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 14:29:40.233,5939.5,1.0,2025-05-20 14:39:52.893,5946.0,-1.0,6.5,26.0,325.0,,CME,Buy,1625169.0,1628224.0,,0.0,325.0,10.211,,,,325.0
ATAS_statistics_23052025_23052025.xlsx,DEMO262F9,MESM5@CME_Ind,2025-05-23 13:18:11.212,5832.5,-2.0,2025-05-23 13:29:15.354,5836.5,2.0,-4.0,-16.0,-40.0,,CME,Sell,8234111881.0,8234112424.0,,0.0,-40.0,11.069033333333334,,,,560.0
ATAS_statistics_23052025_23052025.xlsx,DEMO262F9,MESM5@CME_Ind,2025-05-23 14:06:34.517,5842.25,-2.0,2025-05-23 14:19:50.203,5832.0,2.0,10.25,41.0,102.5,,CME,Sell,8234114584.0,8234115339.0,,0.0,102.5,13.261433333333335,,,,662.5
